,0,1,2
0,0.8908209029737109,0.9380976546131392,0.5685291864701664
1,0.06633636418600622,0.0894102793518149,-0.2563253442065796
2,-0.6565001081077546,-0.981320753490713,-0.1338425055602098
3,-0.7607618114262089,-0.29270052539867175,0.873564722333433
4,0.7635412733480197,0.27812778443281,0.859170923439475
5,0.34942105121904393,0.5976775222876927,-0.7341044203032081
6,0.36169781229543746,-0.1141875809531106,0.3906352216069342
7,-0.24170229174332553,-0.3358099594983649,-0.16854232205272165
8,-0.36612258716320506,-0.630200962977754,-0.7202841953365235
9,-0.36706246168678924,0.10939730589137636,0.4065857309023248
10,0.7124143222149538,1.0751697802837905,-0.17966059666091194
11,-0.878081081953993,-0.948403681936659,0.5678636831679925
12,0.35784029921420035,0.50475411345581,-0.0939496572943368
13,-0.01147233578575266,-0.021012242287284134,-0.874253419973717
